travel_date,travel_time,travel_from,max_capacity,number_of_tickets,year,month,day
4,310,7,11,8.0,2018,5,4
4,427,7,49,2.0,2018,5,4
4,426,7,49,1.0,2018,5,4
4,1145,7,49,1.0,2018,5,4
4,330,7,11,1.0,2018,5,4
2,428,7,49,1.0,2018,4,4
2,426,7,49,1.0,2018,4,4
2,360,7,11,1.0,2018,4,4
2,330,7,11,1.0,2018,4,4
6,426,7,49,1.0,2018,3,4
6,427,7,49,1.0,2018,3,4
6,653,7,11,1.0,2018,3,4
6,340,7,11,1.0,2018,3,4
6,440,7,11,1.0,2018,3,4
6,330,7,11,1.0,2018,3,4
6,300,7,11,1.0,2018,2,4
6,426,7,49,2.0,2018,2,4
6,432,7,49,1.0,2018,2,4
6,330,7,11,1.0,2018,2,4
1,424,1,49,4.0,2017,11,28
3,426,7,49,1.0,2018,1,4
3,590,7,11,2.0,2018,1,4
3,330,7,11,1.0,2018,1,4
5,424,7,49,1.0,2018,3,31
5,426,7,49,1.0,2018,3,31
5,600,7,11,1.0,2018,3,31
5,530,7,11,1.0,2018,3,31
5,651,7,11,1.0,2018,3,31
5,330,7,11,1.0,2018,3,31
4,300,7,11,1.0,2018,3,30
4,422,7,49,1.0,2018,3,30
4,654,7,11,1.0,2018,3,30
4,340,7,11,1.0,2018,3,30
4,620,7,11,1.0,2018,3,30
4,330,7,11,1.0,2018,3,30
4,650,7,11,1.0,2018,3,30
3,300,7,11,2.0,2018,3,29
3,310,7,11,1.0,2018,3,29
3,426,7,49,2.0,2018,3,29
3,590,7,11,1.0,2018,3,29
3,330,7,11,2.0,2018,3,29
3,421,7,49,1.0,2018,3,29
2,310,7,11,1.0,2018,3,28
2,300,7,11,1.0,2018,3,28
2,426,7,49,2.0,2018,3,28
2,620,7,11,1.0,2018,3,28
2,530,7,11,1.0,2018,3,28
2,400,7,11,1.0,2018,3,28
2,420,7,11,1.0,2018,3,28
2,330,7,11,1.0,2018,3,28
1,300,7,11,1.0,2018,3,27
1,426,7,49,2.0,2018,3,27
1,422,7,49,1.0,2018,3,27
1,410,7,11,1.0,2018,3,27
1,427,7,49,1.0,2018,3,27
1,370,7,11,1.0,2018,3,27
2,330,4,11,1.0,2017,11,29
1,330,7,11,1.0,2018,3,27
1,380,7,11,4.0,2018,3,27
0,300,7,11,2.0,2018,3,26
0,1143,7,49,1.0,2018,3,26
0,426,7,49,2.0,2018,3,26
0,370,7,11,1.0,2018,3,26
0,400,7,11,1.0,2018,3,26
0,450,7,11,1.0,2018,3,26
0,330,7,11,1.0,2018,3,26
0,360,7,11,1.0,2018,3,26
6,300,7,11,5.0,2018,3,25
6,426,7,49,3.0,2018,3,25
6,400,7,11,1.0,2018,3,25
6,530,7,11,1.0,2018,3,25
6,654,7,11,1.0,2018,3,25
6,610,7,11,1.0,2018,3,25
6,662,7,11,1.0,2018,3,25
6,440,7,11,1.0,2018,3,25
6,330,7,11,1.0,2018,3,25
5,300,7,11,1.0,2018,3,24
5,426,7,49,2.0,2018,3,24
5,480,7,49,2.0,2018,3,24
2,425,14,49,4.0,2017,11,29
5,580,7,11,1.0,2018,3,24
5,500,7,11,1.0,2018,3,24
5,330,7,11,1.0,2018,3,24
4,310,7,11,1.0,2018,3,23
4,1145,7,49,1.0,2018,3,23
4,480,7,49,1.0,2018,3,23
4,424,7,49,3.0,2018,3,23
4,350,7,11,1.0,2018,3,23
4,418,7,11,1.0,2018,3,23
4,510,7,11,1.0,2018,3,23
4,427,7,49,1.0,2018,3,23
4,330,7,11,1.0,2018,3,23
3,310,7,11,2.0,2018,3,22
3,300,7,11,1.0,2018,3,22
3,426,7,49,5.0,2018,3,22
3,550,7,11,4.0,2018,3,22
3,360,7,11,2.0,2018,3,22
3,340,7,11,1.0,2018,3,22
3,370,7,11,3.0,2018,3,22
3,330,7,11,1.0,2018,3,22
3,400,7,11,1.0,2018,3,22
2,400,7,11,1.0,2018,3,21
2,426,7,49,6.0,2018,3,21
2,434,14,49,1.0,2017,11,29
2,424,7,49,1.0,2018,3,21
2,330,7,11,1.0,2018,3,21
2,310,7,11,1.0,2018,3,21
1,310,7,11,3.0,2018,3,20
2,424,14,49,1.0,2017,11,29
1,570,7,11,1.0,2018,3,20
1,500,7,11,1.0,2018,3,20
1,432,7,49,1.0,2018,3,20
1,530,7,11,1.0,2018,3,20
1,426,7,49,1.0,2018,3,20
1,470,7,11,1.0,2018,3,20
1,435,7,49,1.0,2018,3,20
1,330,7,11,1.0,2018,3,20
1,428,7,49,1.0,2018,3,20
0,310,7,11,1.0,2018,3,19
2,424,1,49,11.0,2017,11,29
2,432,9,49,6.0,2017,11,29
0,426,7,49,2.0,2018,3,19
0,340,7,11,1.0,2018,3,19
0,427,7,49,1.0,2018,3,19
0,350,7,11,1.0,2018,3,19
0,330,7,11,1.0,2018,3,19
2,428,9,49,1.0,2017,11,29
6,300,7,11,1.0,2018,3,18
2,435,9,49,8.0,2017,11,29
6,426,7,49,2.0,2018,3,18
6,651,7,11,2.0,2018,3,18
6,330,7,11,2.0,2018,3,18
2,426,4,49,1.0,2017,11,29
2,429,1,49,5.0,2017,11,29
5,426,7,49,3.0,2018,3,17
5,550,7,11,1.0,2018,3,17
5,424,7,49,1.0,2018,3,17
5,340,7,11,1.0,2018,3,17
5,330,7,11,1.0,2018,3,17
5,320,7,11,1.0,2018,3,17
4,350,7,11,1.0,2018,3,16
4,427,7,49,24.0,2018,3,16
4,656,7,11,5.0,2018,3,16
4,657,7,11,1.0,2018,3,16
4,655,7,11,9.0,2018,3,16
4,654,7,11,10.0,2018,3,16
4,653,7,11,8.0,2018,3,16
4,652,7,11,8.0,2018,3,16
4,651,7,11,9.0,2018,3,16
3,428,14,49,2.0,2017,11,30
3,390,5,11,1.0,2017,11,30
4,650,7,11,7.0,2018,3,16
4,426,7,49,6.0,2018,3,16
3,435,9,49,2.0,2017,11,30
3,432,9,49,1.0,2017,11,30
4,640,7,11,8.0,2018,3,16
4,630,7,11,8.0,2018,3,16
4,620,7,11,10.0,2018,3,16
4,610,7,11,3.0,2018,3,16
4,560,7,11,10.0,2018,3,16
4,570,7,11,5.0,2018,3,16
4,550,7,11,6.0,2018,3,16
4,540,7,11,4.0,2018,3,16
3,420,14,49,1.0,2017,1,12
3,425,14,49,5.0,2017,1,12
4,530,7,11,5.0,2018,3,16
4,520,7,11,9.0,2018,3,16
4,510,7,11,9.0,2018,3,16
3,429,14,49,1.0,2017,1,12
4,500,7,11,6.0,2018,3,16
4,490,7,11,10.0,2018,3,16
4,480,7,11,10.0,2018,3,16
4,470,7,11,10.0,2018,3,16
3,428,14,49,3.0,2017,1,12
4,460,7,11,6.0,2018,3,16
4,422,7,49,11.0,2018,3,16
3,432,9,49,1.0,2017,1,12
4,423,7,49,11.0,2018,3,16
4,450,7,11,7.0,2018,3,16
4,440,7,11,10.0,2018,3,16
3,434,14,49,1.0,2017,1,12
4,435,7,49,11.0,2018,3,16
4,418,7,11,10.0,2018,3,16
4,420,7,11,11.0,2018,3,16
3,410,4,11,10.0,2017,1,12
4,410,7,11,9.0,2018,3,16
4,425,7,49,2.0,2018,3,16
4,400,7,11,4.0,2018,3,16
4,340,7,11,1.0,2018,3,16
3,400,4,11,11.0,2017,1,12
3,390,4,11,10.0,2017,1,12
3,426,7,49,22.0,2018,3,15
3,480,7,11,8.0,2018,3,15
3,580,7,11,1.0,2018,3,15
3,540,7,11,7.0,2018,3,15
3,380,4,11,9.0,2017,1,12
3,427,7,49,8.0,2018,3,15
3,370,4,11,11.0,2017,1,12
3,530,7,11,9.0,2018,3,15
3,360,4,11,11.0,2017,1,12
3,500,7,11,2.0,2018,3,15
3,520,7,11,11.0,2018,3,15
3,350,4,11,11.0,2017,1,12
3,340,4,11,11.0,2017,1,12
3,510,7,11,10.0,2018,3,15
3,330,4,11,11.0,2017,1,12
3,350,7,11,1.0,2018,3,15
3,490,7,11,1.0,2018,3,15
3,470,7,11,8.0,2018,3,15
3,460,7,11,6.0,2018,3,15
3,658,4,11,11.0,2017,1,12
3,450,7,11,10.0,2018,3,15
3,440,7,11,9.0,2018,3,15
3,418,7,11,10.0,2018,3,15
3,420,7,11,7.0,2018,3,15
3,410,7,11,8.0,2018,3,15
3,421,7,49,15.0,2018,3,15
3,300,5,11,1.0,2017,1,12
3,400,7,11,10.0,2018,3,15
6,426,4,49,3.0,2017,2,12
6,420,14,49,9.0,2017,2,12
6,425,14,49,3.0,2017,2,12
3,390,7,11,10.0,2018,3,15
3,425,7,49,6.0,2018,3,15
3,380,7,11,6.0,2018,3,15
3,370,7,11,5.0,2018,3,15
3,423,7,49,1.0,2018,3,15
6,320,5,11,1.0,2017,2,12
6,434,14,49,3.0,2017,2,12
3,330,7,11,1.0,2018,3,15
2,320,7,11,1.0,2018,3,14
2,510,7,11,3.0,2018,3,14
2,500,7,11,9.0,2018,3,14
2,490,7,11,10.0,2018,3,14
2,426,7,49,11.0,2018,3,14
2,480,7,11,9.0,2018,3,14
2,470,7,11,11.0,2018,3,14
2,460,7,11,11.0,2018,3,14
2,360,7,11,1.0,2018,3,14
2,450,7,11,3.0,2018,3,14
2,350,7,11,11.0,2018,3,14
2,340,7,11,1.0,2018,3,14
2,330,7,11,1.0,2018,3,14
1,300,7,11,1.0,2018,3,13
1,426,7,49,5.0,2018,3,13
1,651,7,11,1.0,2018,3,13
1,650,7,11,9.0,2018,3,13
1,640,7,11,10.0,2018,3,13
1,630,7,11,8.0,2018,3,13
1,620,7,11,10.0,2018,3,13
6,429,14,49,1.0,2017,3,12
1,610,7,11,11.0,2018,3,13
6,434,14,49,3.0,2017,3,12
1,600,7,11,3.0,2018,3,13
1,590,7,11,6.0,2018,3,13
1,580,7,11,6.0,2018,3,13
1,570,7,11,8.0,2018,3,13
1,560,7,11,8.0,2018,3,13
1,550,7,11,11.0,2018,3,13
1,540,7,11,10.0,2018,3,13
1,530,7,11,4.0,2018,3,13
1,520,7,11,9.0,2018,3,13
1,500,7,11,10.0,2018,3,13
1,510,7,11,8.0,2018,3,13
1,423,7,49,17.0,2018,3,13
6,390,4,11,2.0,2017,3,12
6,330,5,11,1.0,2017,3,12
6,426,4,49,1.0,2017,3,12
6,310,5,11,1.0,2017,3,12
1,490,7,11,10.0,2018,3,13
1,480,7,11,10.0,2018,3,13
2,424,14,49,3.0,2017,4,12
1,470,7,11,8.0,2018,3,13
2,433,14,49,3.0,2017,4,12
2,429,1,49,25.0,2017,4,12
1,460,7,11,8.0,2018,3,13
1,421,7,49,5.0,2018,3,13
2,432,9,49,15.0,2017,4,12
1,450,7,11,11.0,2018,3,13
2,424,1,49,1.0,2017,4,12
2,430,1,49,1.0,2017,4,12
2,425,14,49,5.0,2017,4,12
2,434,14,49,11.0,2017,4,12
1,440,7,11,7.0,2018,3,13
1,428,7,49,5.0,2018,3,13
1,418,7,11,8.0,2018,3,13
1,420,7,11,11.0,2018,3,13
1,410,7,11,8.0,2018,3,13
1,400,7,11,7.0,2018,3,13
1,330,7,11,1.0,2018,3,13
0,320,7,11,1.0,2018,12,3
0,426,7,49,12.0,2018,12,3
0,500,7,11,10.0,2018,12,3
0,560,7,11,3.0,2018,12,3
2,427,6,49,3.0,2017,4,12
0,380,7,11,11.0,2018,12,3
0,550,7,11,1.0,2018,12,3
0,490,7,11,8.0,2018,12,3
0,450,7,11,8.0,2018,12,3
0,530,7,11,4.0,2018,12,3
0,520,7,11,8.0,2018,12,3
0,510,7,11,11.0,2018,12,3
2,420,6,11,5.0,2017,4,12
0,480,7,11,11.0,2018,12,3
2,426,6,49,1.0,2017,4,12
0,470,7,11,9.0,2018,12,3
0,460,7,11,11.0,2018,12,3
0,418,7,11,6.0,2018,12,3
2,300,4,11,4.0,2017,4,12
0,1144,7,49,31.0,2018,12,3
2,431,1,49,1.0,2017,4,12
2,380,6,11,1.0,2017,4,12
2,300,5,11,1.0,2017,4,12
0,420,7,11,8.0,2018,12,3
0,410,7,11,8.0,2018,12,3
0,423,7,49,4.0,2018,12,3
0,400,7,11,7.0,2018,12,3
4,425,14,49,5.0,2017,5,12
0,419,7,49,2.0,2018,12,3
4,420,14,49,6.0,2017,5,12
4,428,9,49,2.0,2017,5,12
4,432,9,49,25.0,2017,5,12
4,429,1,49,27.0,2017,5,12
4,424,14,49,10.0,2017,5,12
0,390,7,11,11.0,2018,12,3
4,422,12,49,1.0,2017,5,12
4,434,14,49,21.0,2017,5,12
0,435,7,49,5.0,2018,12,3
0,425,7,49,3.0,2018,12,3
4,426,4,49,6.0,2017,5,12
0,370,7,11,7.0,2018,12,3
0,350,7,11,1.0,2018,12,3
0,330,7,11,1.0,2018,12,3
4,430,1,49,8.0,2017,5,12
5,320,7,11,6.0,2018,11,3
5,300,7,11,2.0,2018,11,3
4,435,9,49,21.0,2017,5,12
5,424,7,49,1.0,2018,11,3
5,426,7,49,24.0,2018,11,3
5,434,7,49,1.0,2018,11,3
5,660,7,11,1.0,2018,11,3
5,658,7,11,4.0,2018,11,3
4,429,14,49,4.0,2017,5,12
5,657,7,11,6.0,2018,11,3
5,656,7,11,10.0,2018,11,3
5,655,7,11,7.0,2018,11,3
5,654,7,11,11.0,2018,11,3
5,653,7,11,10.0,2018,11,3
5,652,7,11,9.0,2018,11,3
5,651,7,11,11.0,2018,11,3
5,650,7,11,8.0,2018,11,3
5,640,7,11,11.0,2018,11,3
4,426,6,49,10.0,2017,5,12
5,630,7,11,10.0,2018,11,3
5,620,7,11,11.0,2018,11,3
5,610,7,11,10.0,2018,11,3
5,600,7,11,8.0,2018,11,3
5,590,7,11,8.0,2018,11,3
5,580,7,11,11.0,2018,11,3
5,570,7,11,8.0,2018,11,3
4,300,5,11,2.0,2017,5,12
5,560,7,11,11.0,2018,11,3
4,540,4,11,2.0,2017,5,12
5,550,7,11,11.0,2018,11,3
4,310,5,11,1.0,2017,5,12
5,540,7,11,8.0,2018,11,3
4,390,4,11,1.0,2017,5,12
4,428,14,49,2.0,2017,5,12
4,330,5,11,1.0,2017,5,12
5,530,7,11,8.0,2018,11,3
4,428,0,49,2.0,2017,5,12
4,424,1,49,23.0,2017,5,12
5,520,7,11,7.0,2018,11,3
5,510,7,11,10.0,2018,11,3
5,500,7,11,6.0,2018,11,3
0,432,9,49,26.0,2017,6,12
0,429,1,49,15.0,2017,6,12
5,490,7,11,10.0,2018,11,3
5,480,7,11,8.0,2018,11,3
0,424,4,49,1.0,2017,6,12
5,470,7,11,11.0,2018,11,3
0,490,4,11,10.0,2017,6,12
0,434,14,49,9.0,2017,6,12
5,460,7,11,9.0,2018,11,3
5,450,7,11,8.0,2018,11,3
5,422,7,49,1.0,2018,11,3
5,421,7,49,12.0,2018,11,3
5,435,7,49,2.0,2018,11,3
0,433,14,49,2.0,2017,6,12
0,550,4,11,5.0,2017,6,12
0,425,14,49,10.0,2017,6,12
0,540,4,11,11.0,2017,6,12
0,530,4,11,4.0,2017,6,12
0,520,4,11,4.0,2017,6,12
0,510,4,11,5.0,2017,6,12
0,422,12,49,4.0,2017,6,12
5,440,7,11,10.0,2018,11,3
5,418,7,11,11.0,2018,11,3
0,424,14,49,6.0,2017,6,12
0,570,6,11,1.0,2017,6,12
0,429,14,49,5.0,2017,6,12
5,410,7,11,8.0,2018,11,3
0,480,4,11,3.0,2017,6,12
0,470,4,11,4.0,2017,6,12
0,460,4,11,6.0,2017,6,12
0,450,4,11,5.0,2017,6,12
0,450,6,11,3.0,2017,6,12
0,440,4,11,6.0,2017,6,12
0,430,4,11,6.0,2017,6,12
0,420,4,11,5.0,2017,6,12
5,420,7,11,1.0,2018,11,3
5,330,7,11,1.0,2018,11,3
0,410,4,11,9.0,2017,6,12
0,390,4,11,11.0,2017,6,12
0,350,4,11,11.0,2017,6,12
0,380,4,11,11.0,2017,6,12
0,370,4,11,11.0,2017,6,12
0,360,4,11,11.0,2017,6,12
2,310,7,11,1.0,2018,10,3
2,300,7,11,5.0,2018,10,3
0,470,6,11,2.0,2017,6,12
0,340,4,11,11.0,2017,6,12
2,426,7,49,2.0,2018,10,3
0,330,4,11,11.0,2017,6,12
2,652,7,11,4.0,2018,10,3
2,590,7,11,1.0,2018,10,3
2,350,7,11,1.0,2018,10,3
2,550,7,11,1.0,2018,10,3
0,320,4,11,11.0,2017,6,12
2,340,7,11,1.0,2018,10,3
2,330,7,11,1.0,2018,10,3
0,310,4,11,11.0,2017,6,12
0,300,7,11,6.0,2018,9,3
0,432,14,49,1.0,2017,6,12
0,300,4,11,8.0,2017,6,12
0,420,14,49,3.0,2017,6,12
0,427,4,49,4.0,2017,6,12
0,426,4,49,1.0,2017,6,12
0,431,14,49,1.0,2017,6,12
0,420,6,11,3.0,2017,6,12
0,424,7,49,3.0,2018,9,3
0,435,9,49,33.0,2017,6,12
0,530,6,11,1.0,2017,6,12
0,424,1,49,26.0,2017,6,12
0,427,5,49,1.0,2017,6,12
0,664,7,11,1.0,2018,9,3
0,426,6,49,6.0,2017,6,12
0,654,7,11,7.0,2018,9,3
0,653,7,11,8.0,2018,9,3
0,652,7,11,8.0,2018,9,3
0,370,6,11,1.0,2017,6,12
0,300,6,11,1.0,2017,6,12
0,651,7,11,10.0,2018,9,3
2,431,14,49,1.0,2017,7,12
2,430,14,49,7.0,2017,7,12
2,420,14,49,3.0,2017,7,12
2,425,14,49,19.0,2017,7,12
0,650,7,11,8.0,2018,9,3
2,428,9,49,5.0,2017,7,12
2,426,4,49,1.0,2017,7,12
2,424,14,49,8.0,2017,7,12
0,640,7,11,10.0,2018,9,3
2,428,14,49,2.0,2017,7,12
2,434,14,49,9.0,2017,7,12
2,432,9,49,33.0,2017,7,12
2,429,1,49,16.0,2017,7,12
0,426,7,49,17.0,2018,9,3
0,630,7,11,10.0,2018,9,3
2,433,14,49,1.0,2017,7,12
0,620,7,11,10.0,2018,9,3
0,610,7,11,11.0,2018,9,3
0,600,7,11,11.0,2018,9,3
2,426,6,49,7.0,2017,7,12
0,428,7,49,7.0,2018,9,3
0,590,7,11,10.0,2018,9,3
0,580,7,11,11.0,2018,9,3
0,570,7,11,8.0,2018,9,3
0,560,7,11,9.0,2018,9,3
0,550,7,11,11.0,2018,9,3
0,540,7,11,11.0,2018,9,3
0,530,7,11,7.0,2018,9,3
0,520,7,11,5.0,2018,9,3
0,510,7,11,2.0,2018,9,3
0,500,7,11,7.0,2018,9,3
0,490,7,11,11.0,2018,9,3
0,480,7,11,11.0,2018,9,3
2,370,4,11,6.0,2017,7,12
2,360,4,11,11.0,2017,7,12
2,350,4,11,11.0,2017,7,12
2,340,4,11,11.0,2017,7,12
0,470,7,11,10.0,2018,9,3
2,435,9,49,31.0,2017,7,12
0,423,7,49,11.0,2018,9,3
0,460,7,11,11.0,2018,9,3
0,450,7,11,10.0,2018,9,3
2,530,6,11,2.0,2017,7,12
0,440,7,11,10.0,2018,9,3
0,418,7,11,8.0,2018,9,3
0,420,7,11,9.0,2018,9,3
0,410,7,11,9.0,2018,9,3
2,490,6,11,1.0,2017,7,12
0,400,7,11,8.0,2018,9,3
2,440,6,11,2.0,2017,7,12
0,390,7,11,1.0,2018,9,3
2,330,4,11,11.0,2017,7,12
2,424,6,49,1.0,2017,7,12
4,310,7,11,9.0,2018,8,3
2,320,4,11,11.0,2017,7,12
2,310,4,11,11.0,2017,7,12
2,300,4,11,10.0,2017,7,12
4,424,7,49,3.0,2018,8,3
4,426,7,49,22.0,2018,8,3
4,580,7,11,8.0,2018,8,3
2,390,4,11,1.0,2017,7,12
4,590,7,11,1.0,2018,8,3
2,435,14,49,1.0,2017,7,12
2,410,6,11,4.0,2017,7,12
2,432,14,49,1.0,2017,7,12
4,570,7,11,11.0,2018,8,3
2,429,14,49,2.0,2017,7,12
4,560,7,11,8.0,2018,8,3
4,550,7,11,11.0,2018,8,3
2,390,5,11,1.0,2017,7,12
4,500,7,11,10.0,2018,8,3
4,540,7,11,9.0,2018,8,3
4,427,7,49,1.0,2018,8,3
4,530,7,11,10.0,2018,8,3
2,424,1,49,28.0,2017,7,12
4,300,7,11,5.0,2018,8,3
4,520,7,11,11.0,2018,8,3
4,510,7,11,11.0,2018,8,3
4,490,7,11,9.0,2018,8,3
4,480,7,11,7.0,2018,8,3
2,430,6,11,2.0,2017,7,12
2,1146,6,49,3.0,2017,7,12
2,427,6,49,3.0,2017,7,12
5,421,4,49,1.0,2017,8,12
5,430,14,49,2.0,2017,8,12
5,426,6,49,1.0,2017,8,12
5,433,14,49,3.0,2017,8,12
5,659,6,11,4.0,2017,8,12
5,425,14,49,26.0,2017,8,12
5,429,1,49,36.0,2017,8,12
5,420,14,49,4.0,2017,8,12
5,432,9,49,33.0,2017,8,12
5,660,6,11,1.0,2017,8,12
5,430,1,49,10.0,2017,8,12
5,434,14,49,26.0,2017,8,12
4,470,7,11,1.0,2018,8,3
4,460,7,11,10.0,2018,8,3
4,450,7,11,11.0,2018,8,3
5,429,14,49,1.0,2017,8,12
4,440,7,11,9.0,2018,8,3
4,418,7,11,11.0,2018,8,3
4,423,7,49,13.0,2018,8,3
4,420,7,11,8.0,2018,8,3
5,410,5,11,1.0,2017,8,12
5,640,4,11,5.0,2017,8,12
5,310,5,11,1.0,2017,8,12
4,410,7,11,9.0,2018,8,3
4,422,7,49,9.0,2018,8,3
4,400,7,11,7.0,2018,8,3
5,652,4,11,1.0,2017,8,12
5,428,14,49,2.0,2017,8,12
5,426,4,49,4.0,2017,8,12
4,390,7,11,7.0,2018,8,3
4,380,7,11,9.0,2018,8,3
5,427,4,49,1.0,2017,8,12
4,370,7,11,8.0,2018,8,3
1,426,7,49,16.0,2018,7,3
1,490,7,11,10.0,2018,7,3
1,500,7,11,9.0,2018,7,3
1,630,7,11,7.0,2018,7,3
1,620,7,11,9.0,2018,7,3
1,610,7,11,7.0,2018,7,3
1,600,7,11,9.0,2018,7,3
1,590,7,11,9.0,2018,7,3
1,580,7,11,5.0,2018,7,3
1,570,7,11,5.0,2018,7,3
1,560,7,11,5.0,2018,7,3
1,427,7,49,1.0,2018,7,3
1,550,7,11,11.0,2018,7,3
1,540,7,11,11.0,2018,7,3
1,530,7,11,10.0,2018,7,3
1,520,7,11,11.0,2018,7,3
1,510,7,11,6.0,2018,7,3
1,1146,7,49,3.0,2018,7,3
1,480,7,11,9.0,2018,7,3
1,1145,7,49,19.0,2018,7,3
1,460,7,11,9.0,2018,7,3
1,470,7,11,11.0,2018,7,3
1,450,7,11,8.0,2018,7,3
1,428,7,49,6.0,2018,7,3
1,440,7,11,10.0,2018,7,3
1,418,7,11,7.0,2018,7,3
1,424,7,49,6.0,2018,7,3
1,420,7,11,10.0,2018,7,3
1,423,7,49,1.0,2018,7,3
1,410,7,11,6.0,2018,7,3
1,400,7,11,11.0,2018,7,3
